POSICAO,TIMES,P,J,V,E,D,GP,GC,SG
1,PALMEIRAS,56,28,16,8,4,43,18,25
2,INTERNACIONAL,53,28,15,8,5,36,19,17
3,FLAMENGO,52,28,15,7,6,41,22,19
4,SÃO PAULO,52,28,14,10,4,39,24,15
5,GRÊMIO,51,28,14,9,5,37,16,21
6,ATLÉTICO-MG,45,28,13,6,9,47,34,13
7,SANTOS,39,28,10,9,9,32,26,6
8,FLUMINENSE,37,28,10,7,11,30,32,-2
9,CRUZEIRO,37,27,9,10,8,22,23,-1
10,ATLÉTICO,36,28,10,6,12,37,29,8
11,CORINTHIANS,35,28,9,8,11,28,26,2
12,BOTAFOGO,34,28,8,10,10,29,39,-10
13,AMÉRICA-MG,32,28,8,8,12,25,34,-9
14,BAHIA,31,28,7,10,11,28,34,-6
15,VASCO,31,28,7,10,11,32,40,-8
16,CHAPECOENSE,31,28,7,10,11,29,41,-12
17,CEARÁ,30,27,7,9,11,22,29,-7
18,VITÓRIA,29,28,8,5,15,27,49,-22
19,SPORT,27,28,7,6,15,25,45,-20
20,PARANÁ,17,28,3,8,17,12,41,-29